direction,entryTime,entryPrice,exitTime,exitPrice,profit,profitPct,growth,riskPct,riskSeries,rmultiple,holdingPeriod,exitReason,stopPrice,stopPriceSeries,profitTarget
long,Invalid date,38425.82,Invalid date,38044.94,-380.8799999999974,-0.9912085155241902,0.9900879148447581,4.999999999999993,,-0.1982417031048383,1,exit-rule,36504.529,,
long,Invalid date,38280.2,Invalid date,38441.89,161.69000000000233,0.42238546298086826,1.0042238546298088,5.000000000000006,,0.08447709259617356,1,exit-rule,36366.189999999995,,
long,Invalid date,37770.64,Invalid date,35882.108,-1888.5319999999992,-4.999999999999998,0.9500000000000001,4.999999999999998,,-1,1,stop-loss,35882.108,,
long,Invalid date,36149.47,Invalid date,34341.9965,-1807.4735,-5,0.95,5,,-1,38,stop-loss,34341.9965,,
long,Invalid date,34176.78,Invalid date,36574.63,2397.8499999999985,7.016020818813237,1.0701602081881323,5,,1.4032041637626473,23,exit-rule,32467.941,,
long,Invalid date,35675.29,Invalid date,36198.01,522.7200000000012,1.4652158398712418,1.0146521583987125,4.999999999999993,,0.2930431679742488,3,exit-rule,33891.5255,,
long,Invalid date,36500,Invalid date,36436.26,-63.73999999999796,-0.1746301369862958,0.998253698630137,5,,-0.034926027397259155,1,exit-rule,34675,,
long,Invalid date,36632.82,Invalid date,34801.179,-1831.6410000000033,-5.000000000000009,0.95,5.000000000000009,,-1,4,stop-loss,34801.179,,
long,Invalid date,35477.18,Invalid date,33703.321,-1773.8589999999967,-4.99999999999999,0.9500000000000001,4.99999999999999,,-1,9,stop-loss,33703.321,,
long,Invalid date,34843.52,Invalid date,33101.344,-1742.1759999999995,-4.999999999999999,0.95,4.999999999999999,,-1,14,stop-loss,33101.344,,
long,Invalid date,32826.63,Invalid date,31185.298499999997,-1641.3315000000002,-5.000000000000001,0.95,5.000000000000001,,-1,2,stop-loss,31185.298499999997,,
long,Invalid date,31384.19,Invalid date,29814.980499999998,-1569.2095000000008,-5.000000000000003,0.95,5.000000000000003,,-1,7,stop-loss,29814.980499999998,,
long,Invalid date,30068.29,Invalid date,34180.01,4111.720000000001,13.67460537330191,1.1367460537330192,4.9999999999999964,,2.734921074660384,82,exit-rule,28564.875500000002,,
long,Invalid date,32715.53,Invalid date,31079.7535,-1635.7765,-5,0.95,5,,-1,15,stop-loss,31079.7535,,
long,Invalid date,31750.24,Invalid date,30162.728000000003,-1587.5119999999988,-4.9999999999999964,0.9500000000000001,4.9999999999999964,,-1,21,stop-loss,30162.728000000003,,
long,Invalid date,30322.59,Invalid date,32425.71,2103.119999999999,6.9358191368217526,1.0693581913682175,4.9999999999999964,,1.3871638273643512,24,exit-rule,28806.4605,,
long,Invalid date,32266.36,Invalid date,36875.5,4609.139999999999,14.28466055669124,1.1428466055669124,4.999999999999997,,2.8569321113382493,1,exit-rule,30653.042,,
long,Invalid date,34322.5,Invalid date,34628.68,306.1800000000003,0.8920678854978522,1.0089206788549785,5,,0.17841357709957043,1,exit-rule,32606.375,,
long,Invalid date,34246.28,Invalid date,34123.06,-123.22000000000116,-0.35980550296266095,0.9964019449703734,4.999999999999996,,-0.07196110059253226,1,exit-rule,32533.966,,
long,Invalid date,33273.36,Invalid date,33809.79,536.4300000000003,1.6121906534236408,1.0161219065342364,5.000000000000004,,0.3224381306847279,2,exit-rule,31609.692,,
long,Invalid date,33883.85,Invalid date,34299.82,415.97000000000116,1.2276349942524276,1.0122763499425242,5.000000000000003,,0.24552699885048535,1,exit-rule,32189.657499999998,,
long,Invalid date,33751.77,Invalid date,34234.73,482.9600000000064,1.430917548916713,1.014309175489167,4.999999999999995,,0.2861835097833429,1,exit-rule,32064.1815,,
long,Invalid date,33956.7,Invalid date,34675.53,718.8300000000017,2.116901819081365,1.0211690181908137,4.999999999999998,,0.42338036381627314,4,exit-rule,32258.864999999998,,
long,Invalid date,34066.84,Invalid date,32363.497999999996,-1703.3420000000006,-5.000000000000003,0.95,5.000000000000003,,-1,15,stop-loss,32363.497999999996,,
long,Invalid date,32449.53,2021/01/02,33753.59,1304.0599999999977,4.018733091049385,1.0401873309104939,5.000000000000003,,0.8037466182098768,10,exit-rule,30827.053499999998,,
long,2021/01/02,33160,2021/01/02,33979.94,819.9400000000023,2.4726779252111046,1.024726779252111,5,,0.49453558504222095,1,exit-rule,31502,,
long,2021/02/02,33554.08,2021/02/02,33992.83,438.75,1.3075906119315444,1.0130759061193155,5.000000000000004,,0.26151812238630867,1,exit-rule,31876.376,,
long,2021/04/02,36795.15,2021/04/02,36929.53,134.37999999999738,0.36521117592942925,1.0036521117592943,4.999999999999999,,0.07304223518588586,1,exit-rule,34955.3925,,
long,2021/04/02,37143.44,2021/04/02,37613.32,469.8799999999974,1.265041687038135,1.0126504168703814,4.9999999999999964,,0.2530083374076271,1,exit-rule,35286.268000000004,,
